countries,category,description
Albania, e-visa, Country description
Angola, 30, Country description
Antigua and Barbuda, 90, Country description
Argentina, 90, Country description
Armenia, 180, Country description
Australia, e-visa, Country description
Azerbaijan, 90, Country description
Bahamas, 90, Country description
Bahrain, visa on arrival, Country description
Bangladesh, visa on arrival, Country description
Barbados, 90, Country description
Belarus, visa free, Country description
Benin, e-visa, Country description
Bhutan, e-visa, Country description
Bolivia, 90, Country description
Bosnia and Herzegovina, 30, Country description
Botswana, 90, Country description
Brazil, 90, Country description
Brunei, 14, Country description
Burkina Faso, e-visa, Country description
Burundi, visa on arrival, Country description
Cambodia, visa on arrival, Country description
Cameroon, e-visa, Country description
Cape Verde, 60, Country description
Chile, 90, Country description
Colombia, 90, Country description
Comoros, visa on arrival, Country description
DR Congo, e-visa, Country description
Costa Rica, 30, Country description
Ivory Coast, e-visa, Country description
Cuba, 90, Country description
Djibouti, e-visa, Country description
Dominica, 21, Country description
Dominican Republic, visa free, Country description
Ecuador, 90, Country description
Egypt, visa on arrival, Country description
El Salvador, 90, Country description
Equatorial Guinea, e-visa, Country description
Swaziland, 30, Country description
Ethiopia, visa on arrival, Country description
Fiji, 120, Country description
Gabon, 30, Country description
Gambia, 90, Country description
Georgia, 360, Country description
Grenada, 90, Country description
Guatemala, 90, Country description
Guinea, e-visa, Country description
Guinea-Bissau, visa on arrival, Country description
Guyana, 90, Country description
Haiti, 90, Country description
Honduras, 90, Country description
Hong Kong, 14, Country description
India, e-visa, Country description
Indonesia, visa on arrival, Country description
Iran, e-visa, Country description
Iraq, visa on arrival, Country description
Israel, 90, Country description
Jamaica, 90, Country description
Jordan, visa on arrival, Country description
Kazakhstan, 90, Country description
Kenya, e-visa, Country description
Kiribati, 90, Country description
Kyrgyzstan, visa free, Country description
Laos, 30, Country description
Lebanon, visa on arrival, Country description
Lesotho, e-visa, Country description
Macao, 30, Country description
Madagascar, visa on arrival, Country description
Malawi, e-visa, Country description
Malaysia, 30, Country description
Maldives, 90, Country description
Marshall Islands, visa on arrival, Country description
Mauritania, visa on arrival, Country description
Mauritius, 90, Country description
Mexico, e-visa, Country description
Moldova, 90, Country description
Mongolia, 30, Country description
Montenegro, 30, Country description
Morocco, 90, Country description
Mozambique, 30, Country description
Myanmar, 30, Country description
Namibia, 90, Country description
Nauru, visa on arrival, Country description
Nepal, visa on arrival, Country description
Nicaragua, 90, Country description
Nigeria, e-visa, Country description
Oman, visa on arrival, Country description
Pakistan, e-visa, Country description
Palau, 30, Country description
Palestine, visa free, Country description
Panama, 90, Country description
Papua New Guinea, e-visa, Country description
Paraguay, 90, Country description
Peru, 180, Country description
Philippines, 30, Country description
Qatar, visa on arrival, Country description
Rwanda, visa on arrival, Country description
Saint Kitts and Nevis, 90, Country description
Saint Lucia, 42, Country description
Samoa, 90, Country description
Sao Tome and Principe, 15, Country description
Saudi Arabia, visa on arrival, Country description
Senegal, visa on arrival, Country description
Serbia, 30, Country description
Seychelles, 90, Country description
Sierra Leone, visa on arrival, Country description
Singapore, e-visa, Country description
Somalia, visa on arrival, Country description
South Africa, 90, Country description
South Korea, e-visa, Country description
South Sudan, e-visa, Country description
Sri Lanka, e-visa, Country description
Saint Vincent and the Grenadines, 90, Country description
Tajikistan, visa free, Country description
Tanzania, visa on arrival, Country description
Thailand, 30, Country description
Timor-Leste, visa on arrival, Country description
Togo, visa on arrival, Country description
Tonga, visa on arrival, Country description
Trinidad and Tobago, 90, Country description
Tunisia, 90, Country description
Tuvalu, visa on arrival, Country description
Turkey, 60, Country description
Uganda, e-visa, Country description
United Arab Emirates, 90, Country description
Uruguay, 90, Country description
Uzbekistan, visa free, Country description
Vanuatu, 90, Country description
Venezuela, 90, Country description
Vietnam, 45, Country description
Zambia, visa on arrival, Country description
Zimbabwe, visa on arrival, Country description
